"Sr. No","Institute Code","Institute Name","CAP I","CAP II","CAP III"
107,3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",Download,Download,"-"
108,3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Download,Download,"-"
109,3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Download,Download,"-"
110,3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Download,Download,"-"
111,3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Download,Download,"-"
112,3445,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur.",Download,Download,"-"
113,3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Download,Download,"-"
114,3460,"Universal College of Engineering,Kaman Dist. Palghar",Download,Download,"-"
115,3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Download,Download,"-"
116,3465,"Ideal Institute of Technology, Wada, Dist.Thane",Download,Download,"-"
117,3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Download,Download,"-"
118,3471,"New Horizon Institute of Technology & Management, Thane",Download,Download,"-"
119,3475,"A. P. Shah Institute of Technology, Thane",Download,Download,"-"
120,3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Download,Download,"-"
121,4004,"Government College of Engineering, Chandrapur",Download,Download,"-"
122,4005,"Laxminarayan Institute of Technology, Nagpur",Download,Download,"-"
123,4025,"Government College of Engineering, Nagpur",Download,Download,"-"
124,4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",Download,Download,"-"
125,4115,"Shri Ramdeobaba College of Engineering and Management, Nagpur",Download,Download,"-"
126,4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Download,Download,"-"
127,4118,"Bapurao Deshmukh College of Engineering, Sevagram",Download,Download,"-"
128,4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Download,Download,"-"
129,4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Download,Download,"-"
130,4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Download,Download,"-"
131,4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Download,Download,"-"
132,4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Download,Download,"-"
133,4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Download,Download,"-"
134,4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Download,Download,"-"
135,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Download,Download,"-"
136,4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Download,Download,"-"
137,4142,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Download,Download,"-"
138,4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara,Nagpur",Download,Download,"-"
139,4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Download,Download,"-"
140,4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Download,Download,"-"
141,4147,"K.D.K. College of Engineering, Nagpur",Download,Download,"-"
142,4151,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Download,Download,"-"
143,4163,"Rajiv Gandhi College of Engineering Research & Technology Chandrapur",Download,Download,"-"
144,4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Download,Download,"-"
145,4171,"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur",Download,Download,"-"
146,4172,"Anjuman College of Engineering & Technology, Nagpur",Download,Download,"-"
147,4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Download,Download,"-"
148,4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Download,Download,"-"
149,4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur",Download,Download,"-"
150,4178,"Rajiv Gandhi College of Engineering & Research, Hingna Road, Nagpur",Download,Download,"-"
151,4179,"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur",Download,Download,"-"
152,4181,"Sarvasiddhanta Education Soc's Nuva College of Engineering and Technology, Nagpur",Download,Download,"-"
153,4186,"Datta Meghe Institute of Medical Science's Datta Meghe Institute of Engineering & Technology & Research, Savangi (Meghe)",Download,Download,"-"
154,4187,"Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur",Download,Download,"-"
155,4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Download,Download,"-"
156,4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati",Download,Download,"-"
157,4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Download,Download,"-"
158,4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",Download,Download,"-"
