"","Name.of.the.College","State","Institutional.CGPA","Grade","Accreditation.valid.up.to"
"317","Dr. Arun Motghare Mahavidyalaya, Nagpur – 441908 (First Cycle)","Maharashtra","1.79","C","2021-11-04"
"318","Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Banawadi, Karad – 415124 (First Cycle)","Maharashtra","2.55","B+","2022-03-27"
"319","Dr. Babasaheb Ambedkar College of Arts, Science and Commerce, West Chembur, Mumbai – 400089 (First Cycle) ","Maharashtra","2.32","B","2022-02-21"
"320","Dr. M. K. Umathe Arts and Ramchandra Mokhare Commerce College, Bhamti, Nagpur – 440022 (Second Cycle)  ","Maharashtra","2.81","B++","2022-01-22"
"321","G. H. Raisoni Academy of Engineering and Technology, Nagpur – 440028 (First Cycle)","Maharashtra","2.24","B","2021-11-04"
"322","G. S. College of Commerce and Economics, Nagpur – 440010 (Third Cycle)","Maharashtra","3.03","A","2021-11-04"
"323","Gandhi Shikshan Bhavan’s Smt. Surajba College of Education, Mumbai – 400049 (Third Cycle)","Maharashtra","3.54","A+","2022-02-21"
"324","Gangamai Education Trust’s  Arts, Commerce and Science College, Nagaon, Dhule – 424004 (Second Cycle)","Maharashtra","2.24","B","2021-12-01"
"325","Gharda Foundation's Gharda Institute of Technology, Lavel, Khed, Ratnagiri – 415708 (First Cycle)","Maharashtra","2.61","B+","2022-05-01"
"326","Godavari Manar Charitable Trust's Arts, Commerce and Science College, Biloli, Shankarnagar, Nanded – 431736 
(Second Cycle)
","Maharashtra","2.31","B","2021-11-04"
"327","Godavari Shikshan Mandal's G. D. Sawant Arts, Commerce, Science and B. C. S. College, Nashik – 422010 (First Cycle)","Maharashtra","2.8","B++","2022-05-01"
"328","Gokhale Education Society's Dr. T. K. Tope Arts and Commerce Night Senior College, Parel, Mumbai – 400012 (Third Cycle)","Maharashtra","2.28","B","2022-02-21"
"329","Government College of Arts and Science, Aurangabad – 431001 (Second Cycle)","Maharashtra","3.02","A","2021-09-15"
"330","Government College of Education, Chikhali Road, Buldana – 443001 (Second Cycle) ","Maharashtra","3.12","A","2022-03-27"
"331","Government College of Education, Parbhani – 431401 (Second Cycle)","Maharashtra","2.79","B++","2022-05-01"
"332","Government of Maharashtra's Elphinstone College, Fort, Mumbai – 400032 (Second Cycle)  ","Maharashtra","3.05","A","2022-01-22"
"333","Government of Maharashtra's Sydenham College of Commerce and Economics, Churchgate, Mumbai – 400020 (Second Cycle) ","Maharashtra","3.42","A","2022-03-27"
"334","Government Vidarbha Institute of Science and Humanities, Amravati – 444604 (Second Cycle)","Maharashtra","3.32","A","2022-02-21"
"335","Gram Vikas Shikshan Mandal Late Nhanbhau Mansaram Tukaram Patil Arts College, Jalgaon – 425402 (First Cycle)","Maharashtra","2.15","B","2021-11-04"
"336","Gramin (Arts, Comm. and Sci.) Mahavidyalaya, Nanded – 431715 
(Second Cycle)
","Maharashtra","2.16","B","2021-11-04"
"337","Gramin Vikas Sanstha, Hinganghat R. S. Bidkar Arts, Commerce and Science College, Hinganghat, Wardha – 442301
(Second Cycle)  
","Maharashtra","2.45","B","2021-11-04"
"338","Gujarat Research Society's Hansraj Jivandas College of Education, Khar (W), Mumbai – 400052 (Third Cycle)","Maharashtra","3.53","A+","2022-07-18"
"339","Guru Nanak College of Education and Research, Bhandup (W), Mumbai – 400078 (Second Cycle)","Maharashtra","3.22","A","2022-02-21"
"340","Hirachand Nemchand College of Commerce, Solapur – 413006 (Third Cycle) ","Maharashtra","3.21","A","2022-01-22"
"341","Hislop College, Nagpur – 440001 (Third Cycle)","Maharashtra","3.31","A","2021-09-15"
"342","ICLES' Motilal Jhunjhunwala College of Arts, Science and Commerce, Sector 9A, Vashi, Navi Mumbai – 400703 (Second Cycle)","Maharashtra","3.05","A","2022-06-08"
"343","Indapur Taluka Gramvikas Prathisthan’s Vishwasrao Ransing College (Arts, Commerce and Science), Kalamb, Walchandnagar, Indapur, Pune – 413114 (Second Cycle)","Maharashtra","2.2","B","2022-05-01"
"344","Indapur Taluka Shikshan Prasarak Mandal's College of Arts, Bhigwan – 413130 (First Cycle)","Maharashtra","2.13","B","2021-09-15"
"345","Institute of Naval Medicine, Colaba, Mumbai – 400005 (First Cycle) ","Maharashtra","3.09","A","2021-12-01"
"346","Ismail Yusuf College of Arts, Science and Commerce, Jogeshwari (East), Mumbai – 400060 (Second Cycle)","Maharashtra","3.14","A","2022-05-01"
"347","Jagdamba Education Society's S. N. D. College of Engineering and Research Centre, Babhulgaon, Yeola, Nashik – 423401 (First Cycle)","Maharashtra","1.61","C","2022-05-01"
"348","Jagruti Shikshanshastra Mahavidyalaya, Kolhapur – 416502 (First Cycle) ","Maharashtra","1.81","C","2021-09-15"
"349","Janta Kala Vanijya Mahavidyalaya, Malkapur, Buldana – 443101 
(Second Cycle)
","Maharashtra","2.53","B+","2021-11-04"
"350","Jayawantrao Awale Shikshan Prasarak Mandal’s Jaywant Mahavidyalaya, Shahapur, Ichalkaranji, Hatkanangale, Kolhapur – 416115 (Second Cycle)","Maharashtra","2.07","B","2022-02-21"
"351","K. J. Somaiya College of Arts and Commerce, Mumbai – 400077 (Third Cycle)","Maharashtra","3.33","A","2021-09-15"
"352","K. J. Somaiya College of Engineering, Vidyavihar, Mumbai – 400077 (First Cycle)","Maharashtra","3.03","A","2022-05-01"
"353","K. V. P. Sanstha's Kisan Arts, Commerce and Science College, Parola, Jalgaon – 425111 (Second Cycle)","Maharashtra","2.4","B","2021-12-15"
"354","Kai. Rasika Mahavidyalaya, Deoni, Latur – 413519  (First Cycle)","Maharashtra","2.13","B","2022-03-27"
"355","Karmavir Mahavidyalaya, Mul, Chandrapur – 441224 (First Cycle)","Maharashtra","2.12","B","2022-05-01"
"356","Karmayogi Engineering College, Solapur – 413304 (First Cycle)","Maharashtra","2.76","B++","2021-11-04"
"357","Kasegaon Education Society’s Rajarambapu Institute of Technology, Sangli – 415414 (First Cycle)","Maharashtra","3.1","A","2021-11-04"
"358","Khairul Islam Higher Education Society’s Maharashtra College of Arts, Science and Commerce, Mumbai – 400008 (Second Cycle)","Maharashtra","2.88","B++","2022-02-21"
"359","KIT’s Institute of Management Education and Research, Kolhapur – 416234 
(First Cycle)
","Maharashtra","3.06","A","2021-11-04"
"360","Kohinoor Arts, Commerce and Science College, Sulibhanjan, Khultabad, Aurangabad – 431101 (First Cycle) ","Maharashtra","2.54","B+","2021-12-01"
"361","Konkan Education Society's Dr. C. D. Deshmukh Commerce and Sau. K. G. Tamhane Arts College, Roha, Pen, Raigad – 402109 (Third Cycle)","Maharashtra","2.71","B+","2022-06-08"
"362","Konkan Unnati Mitra Mandal’s Vasantrao Naik College of Arts and Commerce, Murud-Janjira, Raigad, Mumbai – 402401 (Second Cycle)","Maharashtra","2.26","B","2022-05-01"
"363","Krishna Mahavidyalaya, Rethare, Shivnagar, Karad, Satara – 415108 (Second Cycle) ","Maharashtra","2.65","B+","2022-03-27"
"364","Lal Bahadur Shastri Senior College, Jalna – 431501 (Second Cycle)","Maharashtra","2.53","B+","2021-11-04"
"365","Late Balasaheb Ghuikhedkar Vidya Prasarak Mandal's Mungsaji Maharaj Mahavidyalaya, Darwha, Yavatmal – 445202 (Second Cycle)","Maharashtra","2.05","B","2021-12-15"
"366","Late Bhaskarrao Shingane Arts, Prof. Narayanrao Gawande Science and Ashalata Gawande Commerce College, Buldana – 443202 (First Cycle)","Maharashtra","2.43","B","2021-09-15"
"367","Late Dattatraya Pusadkar Arts College, Amravati – 444901 (First Cycle)","Maharashtra","2.18","B","2021-09-15"
"368","Late Dr. Shankarrao Satav Arts and Commerce College, Kalamnuri, Hingoli – 431702 (Second Cycle)  ","Maharashtra","2.59","B+","2022-01-22"
"369","Late Ku. Durga K. Banmeru Science College, Lonar, Buldana – 443302 (First Cycle)","Maharashtra","1.55","C","2021-11-04"
"370","Lokmanya Mahavidyalaya, Warora, Chandrapur – 442907 (Second Cycle) ","Maharashtra","2.16","B","2022-03-27"
"371","M. S. P. Mandal's Shri Shivaji College, Parbhani – 431401 (Third Cycle) ","Maharashtra","3.52","A+","2022-01-22"
"372","M. V. P. Samaj’s College of Education, Nashik – 422002 (Third Cycle)","Maharashtra","3.26","A","2021-11-04"
"373","Madhavrao Patil Arts, Commerce and Science College, Palam, Parbhani – 431720 (First Cycle)","Maharashtra","2.05","B","2022-03-27"
"374","Maharashtra Education Society's Garware College of Commerce, Pune – 411004 
(Third Cycle)
","Maharashtra","3.45","A","2021-11-04"
"375","Maharshi Karve Stree Shikshan Samstha's Shree Siddhivinayak Arts and Commerce Mahila Mahavidyalaya, Karvenagar, Pune – 411052 (Third Cycle) ","Maharashtra","3.04","A","2022-01-22"
"376","Maharshi Karve Stree Shikshan Samstha's Smt. Bakul Tambat Institute of Nursing Education, Pune – 411502  (First Cycle)","Maharashtra","2.76","B++","2021-09-15"
"377","Mahatma Education Society's Pillai's College of Education and Research, Chembur Naka, Mumbai – 400071 (Third Cycle)","Maharashtra","3.36","A","2022-05-01"
"378","Mahatma Gandhi Arts, Science and Late Nassrudinbhai Panjavani Commerce College, Gadchiroli, Armori – 441208 (Third Cycle) ","Maharashtra","3.02","A","2022-03-27"
"379","Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha – 442102 (Second Cycle)","Maharashtra","3.3","A","2022-05-01"
"380","Mahatma Phule Mahavidyalaya, Ahmedpur, Latur – 413515 (First Cycle)","Maharashtra","2.11","B","2021-11-04"
"381","Malini Kishor Sanghvi College of Commerce and Economics, Mumbai – 400049 
(Second Cycle)
","Maharashtra","3.02","A","2021-11-04"
"382","Maratha Samaj Seva Mandal's Chhatrapati Shivaji Night College of Arts and Commerce, Solapur – 413001 (Second Cycle)","Maharashtra","2.54","B+","2021-09-15"
"383","Marathwada Shikshan Prasarak Mandal’s Balbhim Arts Science and Commerce College, Beed – 431122 (Third Cycle) ","Maharashtra","3.51","A+","2022-01-22"
"384","Marathwada Shikshan Prasarak Mandal’s Law College, Beed – 431122 (Third Cycle) ","Maharashtra","2.67","B+","2022-03-27"
"385","Marathwada Shikshan Prasarak Mandal's Shri Muktanand College, Gangapur, Aurangabad – 431109 (Third Cycle) ","Maharashtra","3.26","A","2022-01-22"
"386","Margtamhane Education Society's Dr. Tatyasaheb Natu College of Arts and Senior College of Commerce, Margtamhane, Chiplun, Ratnagiri – 415702 (Third Cycle)","Maharashtra","2.52","B+","2022-02-21"
"387","Marwari Vidyalaya Sanchalit Smt. Kamaladevi Gauridutt Mittal College of Arts and Commerce, Malad (W), Mumbai – 400064 (Second Cycle)","Maharashtra","2.57","B+","2021-12-15"
"388","Matoshri Nanibai Gharphalkar Science College, Babhulgaon, Yavatmal – 445101 (First Cycle) ","Maharashtra","2.16","B","2021-12-01"
"389","Modern Education Society's The D. G. Ruparel College of Arts, Science and Commerce, Mahim, Mumbai – 400016 (Third Cycle)","Maharashtra","3.21","A","2022-02-21"
"390","Mohanrao Patangrao Patil Mahavidyalaya, Sangli – 415413 
(First Cycle)
","Maharashtra","1.9","C","2021-09-15"
"391","Muktainagar Taluka Education Society’s Shrimati Godawaribai Ganpatrao Khadse College, Muktainagar – 425306 
(Second Cycle)
","Maharashtra","2.53","B+","2021-09-15"
"392","Mula Education Society’s Arts, Commerce and Science College, Sonai, Newasa, Ahmednagar – 414105 (Third Cycle) ","Maharashtra","3.02","A","2022-03-27"
"393","N. L. Dalmia Institute of Management Studies and Research, Mira-Bhayandar, Mumbai – 401104 (First Cycle)","Maharashtra","3.03","A","2022-02-21"
"394","Nagrik Shikshan Sanstha’s College of Commerce and Economics, Tardeo, Mumbai – 400034 (Third Cycle) ","Maharashtra","2.78","B++","2022-03-27"
"395","Nana Vanjare Vidya Nagari New Education Society's Arts, Commerce and Science College, Ratnagiri – 416701 (Third Cycle)","Maharashtra","3.02","A","2021-11-04"
"396","Narayanrao Chavan Law College, Nanded-Waghala – 431602 (Second Cycle)","Maharashtra","2.85","B++","2021-09-15"
"397","Navgan Shikshan Sanstha Rajuri's Arts and Commerce College, Parli – Vaijnath, Beed – 431515 (Third Cycle)","Maharashtra","3.02","A","2022-02-21"
"398","Nehru Mahavidyalaya (Arts, Commerce, Science), Yavatmal – 445102 (Second Cycle","Maharashtra","2.77","B++","2021-11-04"
"399","Netaji Shikshan Sanstha’s Subhash Baburao Kul Arts, Commerce and Science College, Kedgaon, Daund, Pune – 412203 (First Cycle)","Maharashtra","2.1","B","2022-01-22"
"400","New Arts, Commerce and Science College, Shevgaon, Ahmednagar – 414502 (Third Cycle) ","Maharashtra","3.02","A","2022-03-27"
"401","Nijampur - Jaitane Shikshan Prasarak Mandal's Adarsh College of Arts, Nijampur – 424305 (Second Cycle)","Maharashtra","1.75","C","2021-09-15"
"402","P. E. S. College of Engineering, Nagsenvana, Aurangabad – 431002 (First Cycle)","Maharashtra","2.56","B+","2022-03-27"
"403","P. E. Society's Modern College of Arts, Science and Commerce, Pune – 411053 (Third Cycle)","Maharashtra","3.26","A","2022-02-21"
"404","P. E. Society's Modern College of Arts, Science and Commerce, Shivajinagar, Pune – 411005 (Third Cycle) ","Maharashtra","3.51","A+","2022-01-22"
"405","Padmashri Annasaheb Jadhav Bharatiya Samaj Unnati Mandal’s B. N. N. College (Arts, Science and Commerce), Bhiwandi, Thane – 421305 (Second Cycle)  ","Maharashtra","3.07","A","2021-12-01"
"406","Pankaj Shaikshanik and Samajik Sanstha Sanchalit, Pankaj Kala Mahavidyalaya, Chopda, Jalgaon – 425107 (First Cycle)","Maharashtra","2.1","B","2021-11-04"
"407","Parle Tilak Vidyalaya Association's Mulund College of Commerce, Mumbai – 400080 (Third Cycle)","Maharashtra","3.29","A","2021-11-04"
"408","Patuck Polytechnic's Trust's Patuck - Gala College of Commerce and Management, Mumbai – 400055 (Second Cycle)","Maharashtra","2.77","B++","2021-09-15"
"409","Pillai College of Education and Research, Panvel – 410206 (First Cycle)","Maharashtra","3.31","A","2021-09-15"
"410","Poojya Sane Guruji Vidya Prasarak Mandal’s S. I. Patil Arts, G. B. Patel Science and S. T. S. K. V. Sangh Commerce College, Shahada, Nandurbar – 425409 (Third Cycle)","Maharashtra","3.12","A","2022-07-18"
"411","Prof. Ram Meghe Institute of Technology and Research, Badnera, Amravati – 444701 (First Cycle)","Maharashtra","3.12","A","2022-05-01"
"412","Progressive Education Society’s Modern College of Engineering, Shivajinagar, Pune – 411005 (Second Cycle)","Maharashtra","3.1","A","2022-02-21"
"413","Progressive Education Society’s Modern Law College, Ganeshkhind, Pune – 411016 (First Cycle)","Maharashtra","2.84","B++","2022-05-01"
"414","Punyashlok Ahilyadevi Holkar Mahavidyalaya, Ranisawargaon, Gangakhed, Parbhani – 431536 (First Cycle)","Maharashtra","2.55","B+","2022-05-01"
"415","Purushottam Thote College of Social Work, Nagpur – 440034 (Second Cycle)","Maharashtra","2.76","B++","2021-09-15"
"416","Ramrao Adik Institute of Technology, Navi Mumbai – 400706 (First Cycle)","Maharashtra","3.09","A","2021-09-15"
"417","Rashtrapita Mahatma Gandhi Mahavidyalaya, Kumarvishwa, Khednagar, Karjat, Ahmednagar – 414403 (First Cycle)","Maharashtra","2.51","B+","2022-01-22"
"418","Rashtriya Sharirik Shikshan Mahavidyalaya, Chandrapur – 442401(First Cycle)","Maharashtra","1.64","C","2021-09-15"
"419","Raver Parisar Shikshan Prasarak Mandal’s Shri Vitthalrao Shankarrao Naik Arts, Commerce and Science College, Raver, Jalgaon – 425508 (Second Cycle)","Maharashtra","2.65","B+","2021-09-15"
"420","Rayat Shikshan Sanstha’s Balwant College, Khanapur, Vita, Sangli – 415311 (Third Cycle)","Maharashtra","3.11","A","2022-02-21"
"421","Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College, Sector 15A, Vashi, Navi Mumbai, Thane – 400703 (Third Cycle)","Maharashtra","3.53","A+","2022-05-01"
"422","Rayat Shikshan Sanstha's Sadguru Gadage Maharaj College, Vidyanagar, Karad, Satara – 415124 (Third Cycle)","Maharashtra","3.63","A+","2022-05-01"
"423","Rayat Shikshan Sanstha's Shri Sadguru Gangageer Maharaj Science, Gautam Arts and Sanjivani Commerce College, Kopargaon, Ahmednagar – 423601 (Third Cycle) ","Maharashtra","2.82","B++","2022-01-22"
"424","Renuka College, Besa, Nagpur – 440037 (First Cycle)","Maharashtra","2.01","B","2022-01-22"
"425","S. B. Patil College of Engineering, Vangali, Indapur, Pune – 413106 (First Cycle)","Maharashtra","2.45","B","2022-05-01"
"426","S. N. D. T. College of Education, Maharshi Karve Vidya Vihar, Pune – 411038 (Second Cycle)","Maharashtra","3.01","A","2022-05-01"
"427","S. S. B. T.'s College of Engineering and Technology, Jalgaon – 425001
(First Cycle)
","Maharashtra","2.91","B++","2021-09-15"
"428","S. S. P. Mandal Tehu Sanchalit Rani Laxmibai Mahavidyalaya, Parola, Jalgaon – 425111 (Second Cycle)","Maharashtra","2.28","B","2021-09-15"
"429","Sadguru Education Society’s College of Physical Education, Jalgaon – 425001 (First Cycle)","Maharashtra","2.85","B++","2022-02-21"
"430","Sadhana Education Society's Smt. Kapila Khandvala College of Education, Mumbai – 400054 (Third Cycle)","Maharashtra","3.16","A","2021-09-15"
"431","Sahakar Maharshi Late Bhaskarrao Shingne Arts College, Buldana – 444303 (First Cycle)","Maharashtra","1.61","C","2021-09-15"
"432","Sahyadri Parisar Shikshan Prasarak Mandal’s Shri Manohar Hari Khapane College of Arts and Commerce, Ratnagiri – 416704 (Second Cycle)","Maharashtra","2.05","B","2021-11-04"
"433","Samarth Educational Trust, Arvind Gavali College of Engineering, Panmalewadi, Varye, Satara – 415015 (First Cycle) ","Maharashtra","2.55","B+","2021-12-01"
"434","Sangameshwar College, Solapur – 413001 (Third Cycle) ","Maharashtra","3.39","A","2022-01-22"
"435","Sanskar Mandir Sanstha's Arts and Commerce College, Warje Malwadi, Pune – 411058 (First Cycle) ","Maharashtra","1.65","C","2021-12-15"
"436","Sanskar Sarjan Education Society's Dhirajlal Talakchand Sankalchand Shah College of Commerce, Malad (East), Mumbai – 400097 (Third Cycle) ","Maharashtra","3.03","A","2022-03-27"
"437","Sant Jagnade Maharaj Shikshan Mandals Arts and Commerce College, Khapar, Akkalkuwa, Nandurbar – 425419 (First Cycle)","Maharashtra","2.24","B","2022-05-01"
"438","Santaji Mahavidyalaya, Nagpur – 440015 (Third Cycle) ","Maharashtra","3.05","A","2022-03-27"
"439","Saraswati College of Engineering, Kharghar, Navi Mumbai – 410210 (First Cycle)","Maharashtra","2.34","B","2022-05-01"
"440","Saraswati Dhanwantari Dental College and Hospital, Post Graduate Research Institute, Parbhani – 431401 (First Cycle)","Maharashtra","2.82","B++","2022-02-21"
"441","Sarvodaya Shikshan Mandal's Sardar Patel Mahavidyalaya, Chandrapur – 442402 (Third Cycle) ","Maharashtra","3.05","A","2022-01-22"
"442","Savitribai College of Arts, Ahmednagar – 413703 (First Cycle)","Maharashtra","1.64","C","2021-09-15"
"443","Seva Sadan's College of Education, Ulhasnagar, Thane – 421003 (Third Cycle)","Maharashtra","3.12","A","2022-02-21"
"444","Sevadal Shikshan Sanstha’s Sevadal Mahila Mahavidyalaya, Nagpur – 440009 
(Third Cycle)
","Maharashtra","3.1","A","2021-11-04"
"445","Sharad Institute of Technology  College of Engineering, Yadrav (Ichalkaranji), Kolhapur – 416121 (First Cycle)","Maharashtra","3.05","A","2021-09-15"
"446","Sheth T. J. Education Society's Sheth Nanjibhai Khimjibhai Thakkar Thanawala College of Commerce and Sheth Jayantilal Tribhovandas Thanawala College of Arts, Thane (W) – 400601 (Third Cycle) ","Maharashtra","2.62","B+","2022-03-27"
"447","Shikshan Prasarak Mandal Kamptee's Seth Kesarimal Porwal College, Nagpur – 441001 (Third Cycle)","Maharashtra","3.01","A","2021-09-15"
"448","Shikshan Prasarak Mandal, Akluj Sanchalit Mahatma Phule College of Education, Akluj, Malshiras, Solapur – 413101 (Second Cycle","Maharashtra","2.63","B+","2022-01-22"
"449","Shikshan Prasarak Mandal's R. A. Podar College of Commerce and Economics, Matunga, Mumbai – 400019 (Third Cycle)","Maharashtra","3.68","A+","2024-02-21"
"450","Shikshan Prasarak Mandal's Sahebrao Shakarrao Dhamdhere Arts and Commerce College, Pune – 412208 (First Cycle)","Maharashtra","2.18","B","2021-11-04"
"451","Shikshan Prasarak Sanstha's Sangamner Nagarpalika Arts, D. J. Malpani Commerce and B. N. Sarada Science College, Sangamner – 422605 (Third Cycle)","Maharashtra","3.58","A+","2021-11-04"
"452","Shikshanmaharshi Dr. Bapuji Salunkhe College, Miraj, Sangli – 416410 (Third Cycle)","Maharashtra","2.89","B++","2022-02-21"
"453","Shivaji College, Hingoli – 431513 (First Cycle)","Maharashtra","2.21","B","2022-03-27"
"454","Shivneri Mahavidyalaya, Shirur Anantpal, Latur – 413544 (First Cycle)","Maharashtra","2.54","B+","2022-03-27"
"455","Shreeyash Pratishthan's Shreeyash College of Engineering and Technology, Aurangabad – 431010 (First Cycle)","Maharashtra","1.79","C","2021-09-15"
"456","Shri A. P. D. Jain Pathashala's Walchand College of Arts and Science, Solapur – 413006 (Third Cycle) ","Maharashtra","3.01","A","2021-09-15"
"457","Shri Chhatrapati Shikshan Prasarak Mandal's Shivaji Arts, Commerce and Science College, Aurangabad – 431103 (Third Cycle)","Maharashtra","2.92","B++","2021-09-15"
"458","Shri Gajanan Shikshan Prasarak Mandal's Toshniwal Arts, Commerce and Science College, Hingoli – 431542 (Second Cycle)","Maharashtra","2.21","B","2021-11-04"
"459","Shri Govindprabhu Arts and Commerce College, Chandrapur – 441221 
(First Cycle)
","Maharashtra","1.56","C","2021-09-15"
"460","Shri Guru Buddhiswami Mahavidyalaya, Purna, Parbhani – 431511 (Second Cycle)","Maharashtra","2.42","B","2021-12-15"
"461","Shri Kumarswami Mahavidyalaya, Ausa, Latur, Aurangabad – 413520 (Second Cycle)","Maharashtra","2.11","B","2021-12-15"
"462","Shri Maharani Tarabai Government College of Education, Shahupuri, Kolhapur – 416001 (Second Cycle) ","Maharashtra","2.67","B+","2022-03-27"
"463","Shri Mathuradas Mohota College of Science, Nagpur – 440009 (Third Cycle)","Maharashtra","3.1","A","2022-02-21"
"464","Shri Narendra Tidke College of Arts and Commerce, Ramtek, Nagpur - 441106 
(First Cycle)
","Maharashtra","1.82","C","2021-11-04"
"465","Shri Padmamani Jain Arts and Commerce College, Pabal, Shirur, Pune – 412403 (First Cycle)","Maharashtra","2.54","B+","2022-01-22"
"466","Shri Saibaba Gramin Vikas Sanstha, Gadchiroli Mahila Mahavidyalya, Gadchiroli – 442605 (Second Cycle)  ","Maharashtra","2.11","B","2022-01-22"
"467","Shri Sampatrao Mane Mahavidyalaya, Khanapur, Sangli – 415307 (Second Cycle) ","Maharashtra","2.24","B","2022-03-27"
"468","Shri Sant Damaji Mahavidyalaya, Mangalwedha, Solapur – 413305 
(Second Cycle)
","Maharashtra","2.24","B","2021-11-04"
"469","Shri Sant Savta Mali Gramin Mahavidyalaya, Aurangabad – 431111 (First Cycle)","Maharashtra","2.32","B","2021-09-15"
"470","Shri Saraswati College of Social Work, Washim – 444505 (First Cycle)","Maharashtra","2.36","B","2021-09-15"
"471","Shri Shahu Shikshan Prasarak Seva Mandal's Shri Vijaysinha Yadav Arts and Science College, Kolhapur – 416112 (Second Cycle)","Maharashtra","2.83","B++","2021-09-15"
"472","Shri Shivaji Arts and Commerce College, Amravati – 444603 (Third Cycle) ","Maharashtra","3.08","A","2022-01-22"
"473","Shri Shivaji Education Society Amravati’s Science College, Nagpur – 440012 (Third Cycle, Re-assessment) ","Maharashtra","3.51","A+","2022-06-08"
"474","Shri Shivaji Law College, Parbhani – 431401 (Third Cycle)","Maharashtra","3.17","A","2022-02-21"
"475","Shri Swami Vivekanand Shikshan Sanstha Padmabhushan Dr. Vasantraodada Patil Mahavidyalaya, Sangli – 416312 (Third Cycle)","Maharashtra","2.76","B++","2021-09-15"
"476","Shri Vile Parle Kelavani Mandal's Narsee Monjee College of Commerce and Economics, Juhu Scheme, Vile Parle (West), Mumbai – 400056 (Second Cycle)  ","Maharashtra","3.42","A","2022-01-22"
"477","Sindhudurg Education Society’s V. Y. S. B.Ed. College, Tondavali, Kankavali, Sindhudurg – 416601 (First Cycle)","Maharashtra","2.36","B","2021-11-04"
"478","Sinhgad Dental College and Hospital, Pune – 411041 (First Cycle) ","Maharashtra","3.06","A","2021-12-15"
"479","Sinhgad Institute of Technology, Lonavala – 410401 (First Cycle)","Maharashtra","2.81","B++","2021-09-15"
"480","Sinhgad Technical Education Society’s Sinhgad Academy of Engineering, Kondhwa, Pune – 411048 (First Cycle)","Maharashtra","3.01","A","2022-01-22"
"481","Sinhgad Technical Education Society's Sinhgad College of Engineering, Vadgaon, Pune – 411041 (First Cycle)  ","Maharashtra","3.25","A","2022-01-22"
"482","Sinhgad Technical Education Society's Sinhgad Institute of Technology and Science, Pune – 411041 (First Cycle","Maharashtra","2.38","B","2021-09-15"
"483","Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering, Pune – 411041 (First Cycle)","Maharashtra","2.67","B+","2021-11-04"
"484","Smt. Kashibai Navale College of Physiotherapy, Narhe, Pune – 411041 (First Cycle)","Maharashtra","2.3","B","2022-02-21"
"485","Smt. Mithibai Motiram Kundnani College of Commerce and Economics, Bandra (West), Mumbai – 400050 (Third Cycle)","Maharashtra","3.2","A","2022-05-01"
"486","Social and Cultural Association's Smt. Narmadabai Nago Chaudhari Arts, Commerce and Science College, Dhule – 424302 (First Cycle)","Maharashtra","2.02","B","2021-11-04"
"487","Sri Basaveshwar Education Society Sant Gadge Maharaj Mahavidyalaya, Nagpur – 441110 (Second Cycle)","Maharashtra","1.77","C","2021-09-15"
"488","St. Andrew's College of Arts, Science and Commerce, Mumbai – 400050 (Third Cycle)","Maharashtra","3.07","A","2021-09-15"
"489","St. Mira’s College for Girls, Pune – 411001 (Third Cycle)","Maharashtra","3.41","A","2022-05-01"
"490","Stree Shikshan Prasarak Mandal’s Mahila Mahavidyalaya, Nagpur – 440009 
(Third Cycle)
","Maharashtra","3.01","A","2021-11-04"
"491","SVKM’s Usha Pravin Gandhi College of Management, Vile Parle West, Mumbai – 400056 (First Cycle)  ","Maharashtra","3.04","A","2022-01-22"
"492","Swayam Siddhi Mitra Sanghs College of Management and Research, Temghar, Bhiwandi, Thane – 421302 (First Cycle)","Maharashtra","2.51","B+","2022-03-27"
"493","Swayam Siddhi Mitra Sangh's Degree College, Bhiwandi, Thane – 421302 (First Cycle) ","Maharashtra","2.52","B+","2021-12-01"
"494","Swayamsiddhi Mitra Sangh’s College of Education, Bhiwandi, Thane – 421302 (First Cycle)","Maharashtra","2.02","B","2021-11-04"
"495","Swoddharak Vidyarthi Sanstha's Arts and Science College, Dhule – 425408 
(Second Cycle)
","Maharashtra","3.3","A","2021-09-15"
"496","Symbiosis College of Arts and Commerce, Pune – 411004 (Third Cycle) ","Maharashtra","3.51","A+","2024-03-27"
"497","Tatyasaheb Kore Institute of Engineering and Technology, Warananagar, Kolhapur – 416113 (First Cycle)","Maharashtra","3.27","A","2021-11-04"
"498","Thakur Educational Trust (Regd.) Thakur College of Science and Commerce, Kandivali East – 400101 (Third Cycle)","Maharashtra","3.03","A","2021-11-04"
"499","The Berar General Education Society's Radhakisan Laxminarayan Toshniwal College of Science, Akola – 444001  (Third Cycle)","Maharashtra","3.12","A","2022-02-21"
"500","The Kelkar Education Trust's Vinayak Ganesh Vaze College of Arts, Science and Commerce, Mulund (E), Mumbai – 400081 (Fourth Cycle)","Maharashtra","3.45","A","2022-07-18"
"501","The S. I. A. College of Higher Education, Dombivli – 421203 (First Cycle)","Maharashtra","2.54","B+","2021-11-04"
