"","Gender","sub.group.name"
"536","M","Chemical"
"537","M","Chemical"
"538","M","Chemical"
"539","M","Chemical"
"540","M","Chemical"
"541","M","Chemical"
"542","M","Chemical"
"543","M","Chemical"
"544","M","Chemical"
"545","M","Chemical"
"546","M","Chemical"
"547","M","Chemical"
"549","M","Chemical"
"550","M","Chemical"
"551","M","Chemical"
"552","M","Chemical"
"553","M","Chemical"
"554","M","Chemical"
"555","M","Chemical"
"556","M","Chemical"
"557","M","Chemical"
"558","F","Chemical"
"559","F","Chemical"
"560","M","Chemical"
"561","M","Chemical"
"562","M","Chemical"
"563","M","Chemical"
"564","M","Chemical"
"565","M","Chemical"
"566","F","Chemical"
"567","M","Chemical"
"568","F","Chemical"
"569","M","Chemical"
"570","M","Chemical"
"571","M","Machanical"
"572","M","Chemical"
"573","M","Chemical"
"574","M","Chemical"
"575","M","Machanical"
"576","M","Chemical"
"577","M","Chemical"
"578","M","ENTC"
"579","M","Chemical"
"580","M","Chemical"
"581","F","Chemical"
"582","M","Chemical"
"584","M","Chemical"
"585","M","Chemical"
"586","M","Chemical"
"587","M","Chemical"
"588","M","Chemical"
"589","F","Chemical"
"590","M","Chemical"
"591","M","Chemical"
"592","F","Chemical"
"593","F","Chemical"
"594","M","Chemical"
"595","M","Chemical"
"596","M","Chemical"
"597","M","Chemical"
"598","M","Chemical"
"599","M","Chemical"
"600","M","Chemical"
"601","F","Chemical"
"602","F","Chemical"
"603","M","Chemical"
"604","M","Chemical"
"605","M","Chemical"
"606","F","Chemical"
"608","M","Chemical"
"609","F","Chemical"
"610","M","Chemical"
"611","M","Chemical"
"612","M","Chemical"
"613","M","Chemical"
"614","M","Chemical"
"615","M","Chemical"
"616","M","Chemical"
"617","M","Chemical"
"618","M","Chemical"
"619","M","Chemical"
"620","M","Chemical"
"621","F","Chemical"
"622","M","Chemical"
"623","M","Plastic"
"624","M","Plastic"
"625","M","Plastic"
"626","M","Plastic"
"627","M","Plastic"
"628","M","Plastic"
"629","M","Plastic"
"630","M","Plastic"
"631","M","Plastic"
"632","M","Plastic"
"633","F","Plastic"
"634","M","Plastic"
"635","M","Plastic"
"636","M","Plastic"
"637","M","Plastic"
"638","M","Plastic"
"639","F","Plastic"
"640","M","Plastic"
"641","M","Plastic"
"642","F","Plastic"
"643","M","Plastic"
"644","M","Plastic"
"645","M","Plastic"
"646","M","Plastic"
"647","M","Plastic"
"648","M","Plastic"
"649","M","Plastic"
"650","M","Plastic"
"651","F","Plastic"
"652","M","Plastic"
"653","M","Plastic"
"654","M","Plastic"
"655","M","Plastic"
"656","M","Plastic"
"657","M","Plastic"
"658","M","Plastic"
"659","M","Plastic"
"660","M","Plastic"
"661","M","Plastic"
"662","M","Plastic"
"663","F","Plastic"
"664","M","Plastic"
"665","M","Plastic"
"666","M","Plastic"
"667","M","Plastic"
"668","M","Plastic"
"669","M","Plastic"
"670","M","Plastic"
"671","M","Plastic"
"672","M","Plastic"
"673","M","Plastic"
"674","M","Plastic"
"675","M","Plastic"
"676","M","Plastic"
"683","M","Plastic"
"684","F","Plastic"
"685","M","Plastic"
"686","M","Plastic"
"687","F","Plastic"
"688","M","Plastic"
"689","M","Plastic"
"690","M","Plastic"
"691","M","Plastic"
"692","F","Food Technology"
"693","F","Food Technology"
"694","F","Food Technology"
"695","F","Food Technology"
"696","F","Food Technology"
"697","F","Food Technology"
"698","M","Chemical"
"699","F","Food Technology"
"700","M","Plastic"
"701","M","Civil"
"702","M","Food Technology"
"762","F","Food Technology"
"763","M","Food Technology"
"765","F","Food Technology"
"766","F","Food Technology"
"767","F","Food Technology"
"768","F","Food Technology"
"769","M","Food Technology"
"770","F","Food Technology"
"771","F","Food Technology"
"772","F","Food Technology"
"773","M","Oil and Paints Technology"
"774","M","Oil and Paints Technology"
"775","M","Oil and Paints Technology"
"776","M","Oil and Paints Technology"
"777","F","Oil and Paints Technology"
"780","M","Oil and Paints Technology"
"781","M","Oil and Paints Technology"
"782","M","Oil and Paints Technology"
"783","M","Oil and Paints Technology"
"784","F","Oil and Paints Technology"
"785","M","Machanical"
"786","M","Oil and Paints Technology"
"787","M","Oil and Paints Technology"
"788","F","Oil and Paints Technology"
"789","M","Machanical"
"790","M","Machanical"
"807","F","ENTC"
"808","M","ENTC"
"809","M","ENTC"
"810","F","Electrical"
"811","M","Computer & IT"
"812","M","Electrical"
"813","M","Electrical"
"814","M","Electrical"
"815","M","Electrical"
"816","M","Electrical"
"870","F","Civil"
"871","F","Civil"
"872","M","Civil"
"873","M","Civil"
"874","M","Civil"
"875","F","Civil"
"876","F","Civil"
"877","F","Civil"
"878","M","Civil"
"879","M","Civil"
"880","M","Civil"
"881","F","Civil"
"882","M","Civil"
"883","M","Civil"
"884","M","Civil"
"885","M","Civil"
"886","F","Civil"
"887","F","Civil"
"888","F","Civil"
"889","M","Civil"
"890","M","Civil"
"891","F","Civil"
"892","F","Civil"
"893","F","Civil"
"894","M","Civil"
"895","M","Civil"
"896","M","Civil"
"897","F","Civil"
"898","F","Civil"
"899","M","Civil"
"900","M","Civil"
"901","M","Civil"
"902","F","Civil"
"903","M","Civil"
"904","M","Civil"
"905","F","Civil"
"906","F","Civil"
"907","M","Civil"
"908","F","Civil"
"909","M","Civil"
"910","M","Civil"
"911","M","Civil"
"912","F","Civil"
"913","F","Civil"
"914","M","Civil"
"915","F","Civil"
"916","F","Civil"
"917","F","Civil"
"918","M","Civil"
"919","F","Civil"
"920","F","Civil"
"921","M","Civil"
"922","M","Civil"
"923","F","Civil"
"924","F","Civil"
"925","M","Civil"
"926","F","Civil"
"927","M","Civil"
"928","F","Civil"
"929","F","Civil"
"930","M","Civil"
"931","F","Civil"
"932","M","Civil"
"933","F","Civil"
"934","F","Civil"
"935","M","Civil"
"936","F","Civil"
"937","F","Civil"
"938","M","Civil"
"939","M","Civil"
"940","M","Civil"
"941","F","Civil"
"942","F","Civil"
"943","M","Civil"
"944","M","Civil"
"945","M","Civil"
"946","M","Civil"
"947","M","Civil"
"948","F","Civil"
"949","F","Civil"
"950","M","Civil"
"951","M","Civil"
"952","F","Civil"
"953","M","Civil"
"954","M","Civil"
"955","F","Civil"
"956","M","Civil"
"957","M","Civil"
"958","M","Civil"
"959","F","Civil"
"960","M","Civil"
"961","M","Civil"
"962","M","Civil"
"963","F","Civil"
"964","M","Civil"
"965","M","Civil"
"966","M","Civil"
"967","M","Civil"
"968","F","Civil"
"969","M","Civil"
"970","M","Civil"
"971","F","Civil"
"972","M","Civil"
"973","F","Civil"
"974","M","Civil"
"975","F","Civil"
"976","F","Civil"
"977","M","Civil"
"978","M","Civil"
"979","M","Civil"
"980","M","Civil"
"981","F","Civil"
"982","M","Civil"
"983","M","Civil"
"984","M","Civil"
"985","M","Civil"
"986","F","Civil"
"987","M","Civil"
"988","M","Civil"
"989","M","Civil"
"990","F","Civil"
"991","F","Civil"
"992","F","Civil"
"993","M","Civil"
"994","M","Civil"
"996","M","Civil"
"997","M","Civil"
"998","F","Civil"
"999","M","Civil"
"1000","M","Civil"
"1001","M","Machanical"
"1002","M","Civil"
"1003","F","Civil"
"1004","F","Civil"
"1005","M","Civil"
"1006","M","Civil"
"1007","M","Civil"
"1008","F","Civil"
"1009","F","Civil"
"1010","M","Civil"
"1011","F","Civil"
"1012","M","Civil"
"1013","M","Civil"
"1014","M","Civil"
"1015","M","Civil"
"1016","M","Civil"
"1017","M","Civil"
"1018","M","Civil"
"1019","F","Civil"
"1020","F","Civil"
"1021","M","Civil"
"1022","M","Civil"
"1023","M","Civil"
"1024","F","Civil"
"1025","M","Civil"
"1026","M","Machanical"
"1027","F","Civil"
"1028","F","Civil"
"1029","M","Civil"
"1030","F","Civil"
"1031","M","Civil"
"1032","M","Machanical"
"1033","F","Civil"
"1034","M","Civil"
"1035","M","Civil"
"1080","F","Civil"
"1081","F","Civil"
"1082","F","Civil"
"1083","F","Civil"
"1084","M","Civil"
"1085","M","Civil"
"1086","M","Civil"
"1087","F","Civil"
"1088","M","Civil"
"1089","F","Civil"
"1090","M","Civil"
"1091","M","Civil"
"1092","F","Civil"
"1093","M","Civil"
"1094","M","Civil"
"1095","M","Civil"
"1096","M","Civil"
"1102","F","Civil"
"1103","M","Civil"
"1104","M","Civil"
"1105","M","Civil"
"1106","M","Chemical"
"1107","F","Civil"
"1108","M","Civil"
"1109","M","Civil"
"1110","F","Civil"
"1111","M","Civil"
"1112","M","Civil"
"1113","M","Civil"
"1114","M",""
"1115","M",""
"1116","M",""
"1117","M",""
"1118","F",""
"1119","M",""
"1120","M",""
"1121","M",""
"1122","F",""
"1123","M",""
"1124","M",""
"1125","M",""
"1126","F",""
"1127","F",""
"1128","M",""
"1129","M",""
"1130","M",""
"1131","F",""
"1132","F",""
"1133","M",""
"1134","M",""
"1135","M",""
"1136","M",""
"1137","M",""
"1138","M",""
"1139","M",""
"1140","M",""
"1142","M",""
"1143","M",""
"1144","M",""
"1145","M",""
"1146","M",""
"1147","F",""
"1148","M",""
"1149","M",""
"1150","M",""
"1151","M",""
"1152","M",""
"1153","M",""
"1154","F",""
"1155","M",""
"1156","M",""
"1157","M",""
"1158","M",""
"1159","F",""
"1160","M",""
"1161","F",""
"1162","F",""
"1163","M",""
"1164","F",""
"1165","F",""
"1166","F",""
"1167","F",""
"1168","M",""
"1169","M",""
"1170","M",""
"1171","M",""
"1172","M",""
"1173","M",""
"1174","F",""
"1175","M",""
"1176","F",""
"1177","M",""
"1178","M",""
"1179","M",""
"1180","F",""
"1181","M",""
"1182","M",""
"1183","M",""
"1184","M",""
"1185","M",""
"1186","M",""
"1187","M",""
"1188","M",""
"1189","M",""
"1190","M",""
"1191","M",""
"1192","F",""
"1193","M",""
"1194","F",""
"1195","F",""
"1196","M",""
"1197","M",""
"1198","M",""
"1199","M",""
