,Institute Code,Institute Name
109,3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel"
110,3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
111,3445,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur."
112,3447,"G.M.Vedak Institute of Technology, Tala, Raigad."
113,3460,"Universal College of Engineering,Kaman Dist. Palghar"
114,3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri."
115,3465,"Ideal Institute of Technology, Wada, Dist.Thane"
116,3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad"
117,3471,"New Horizon Institute of Technology & Management, Thane"
118,3475,"A. P. Shah Institute of Technology, Thane"
119,3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
120,4004,"Government College of Engineering, Chandrapur"
121,4005,"Laxminarayan Institute of Technology, Nagpur"
122,4025,"Government College of Engineering, Nagpur"
123,4104,"Kavi Kulguru Institute of Technology & Science, Ramtek"
124,4115,"Shri Ramdeobaba College of Engineering and Management, Nagpur"
125,4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur"
126,4118,"Bapurao Deshmukh College of Engineering, Sevagram"
127,4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur"
128,4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur"
129,4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur"
130,4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur"
131,4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur"
132,4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
133,4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur"
134,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
135,4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur"
136,4142,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur"
137,4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara,Nagpur"
138,4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
139,4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur"
140,4147,"K.D.K. College of Engineering, Nagpur"
141,4151,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur"
142,4163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur
143,4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur"
144,4171,"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur"
145,4172,"Anjuman College of Engineering & Technology, Nagpur"
146,4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur"
147,4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha"
148,4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur"
149,4178,"Rajiv Gandhi College of Engineering & Research, Hingna Road, Nagpur"
150,4179,"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur"
151,4181,"Sarvasiddhanta Education Soc's Nuva College of Engineering and Technology, Nagpur"
152,4186,"Datta Meghe Institute of Medical Science's Datta Meghe Institute of Engineering & Technology & Research, Savangi (Meghe)"
153,4187,"Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur"
154,4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni"
155,4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati"
156,4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur"
157,4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur"
158,4195,"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad � Patil College of Engineering, Nagpur"
159,4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
160,4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)"
161,4285,"V M Institute of Engineering and Technology, Dongargaon, Nagpur"
162,4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara"
163,4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
164,4305,"G.H.Raisoni Academy of Engineering & Technology, Nagpur"
165,4613,"Suryodaya College of Engineering & Technology, Nagpur"
166,4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha"
167,4649,"Bajaj Institute of Technology, Wardha"
168,5003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon"
169,5004,"Government College of Engineering, Jalgaon"
170,5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule"
